question,answer,source_url,source_type
1. What is the difference between Orientation and CSI welcome events?,"Orientation is hosted by the college, while CSI welcome events are hosted by Conestoga Students Inc. (CSI), the official student association for Conestoga College. Orientation is the main event for first-year students. It includes a series of free activities, both mandatory and optional, including information webinars, in-person Campus Welcome Day, and a mandatory Program Orientation Session. Orientation is your opportunity to explore campus resources and services, gain essential tips for academic success, and connect with the Conestoga community. You'll learn what you need to know about college life and lay the foundation for a successful journey at Conestoga. CSI welcome events focus on building community and helping new students feel at home through fun, social activities. Some events may have a fee. For details, see the CSI Events Calendar on the CSI website.",https://orientation.conestogac.on.ca/questions/faq,orientation_faq
2. Which orientation events are mandatory and which should I register for?,"Your Program Orientation Session is mandatory. Sessions may be offered virtually or in person, and some require advance registration. The in-person Campus Welcome Day activities are optional, but we encourage you to RSVP and attend. For details on both, visit Orientation week .",https://orientation.conestogac.on.ca/questions/faq,orientation_faq
3. What if I can't attend my mandatory Program Orientation Session? Will the session be recorded?,"If your Program Orientation Session is virtual, the session will be recorded. Your instructor will post the recorded video to eConestoga before the third week of class.",https://orientation.conestogac.on.ca/questions/faq,orientation_faq
4. I will not have my visa in time to attend orientation activities. What should I do?,Please email International Admissions at internationaladmissions@conestogac.on.ca for further assistance.,https://orientation.conestogac.on.ca/questions/faq,orientation_faq
5. What is the purpose of my ONE Card? Do I need to pick it up during orientation?,"Your ONE Card has many functions. It is your student ID and also gives you access to discounts at off-campus food vendors, transit (applicable for eligible students), library resources, printing, the Recreation Centre, and more. Learn all about the functions of the ONE Card . You can pick up your ONE Card at a ONE Card location .",https://orientation.conestogac.on.ca/questions/faq,orientation_faq
"6. Will I meet my professors on campus, or will my program host an in-person meet and greet?","You may get to meet some of your professors in your Program Orientation Session. Some programs are also hosting an in-person meet and greet on campus. If your program offers in-person activity, details will be sent directly to both your personal and Conestoga email accounts.",https://orientation.conestogac.on.ca/questions/faq,orientation_faq
7. Is there complimentary parking during orientation?,"Complimentary parking is provided to students January 5–9. For instructions on how to redeem complimentary parking, visit directions and parking .",https://orientation.conestogac.on.ca/questions/faq,orientation_faq
8. Where can I find a campus map?,"Visit directions and parking for campus maps. We encourage you to look at the map or take a virtual tour before arriving, to better orient yourself while on campus.",https://orientation.conestogac.on.ca/questions/faq,orientation_faq
9. I don't understand the room numbers and where my classes are located.,"Kitchener – Doon and Waterloo room example 2E05 2 - The first digit is the floor number. E - The letter is the floor wing. 05 - The last two digits are the room number. Guelph room example D18 D - The letter is the floor wing. 18 - The last two digits are the room number. Cambridge – Fountain Street room example A1326 A - The letter is the building. 1 - The first number is the floor level. 326 - The last three digits are the room number. Brantford room example 013 or 145 If there is a 0 in front of the number that means the room is on the lower level If the code starts with a 1, the room is on floor one. If the code starts with a 2, the room is on floor two and so on.",https://orientation.conestogac.on.ca/questions/faq,orientation_faq
10. Are orientation dates and times final?,Check back regularly for any updates to your Program Orientation Session and other workshop and event date/times.,https://orientation.conestogac.on.ca/questions/faq,orientation_faq
11. Do any orientation events cost money?,"Orientation events are free. CSI welcome events, hosted by Conestoga Students Inc., are mostly free. Some may include a fee.",https://orientation.conestogac.on.ca/questions/faq,orientation_faq
12. What should I bring to orientation?,"Yourself! You don't need to bring anything, but we suggest wearing comfortable shoes for exploring the campus. Visit directions and parking for campus maps. We also encourage you to take a virtual tour before arriving, to better orient yourself while on campus.",https://orientation.conestogac.on.ca/questions/faq,orientation_faq
13. When should I start using my Conestoga College email account and what does it give me access to?,"Once you confirm your offer, our IT department will provide you with your Conestoga ID and password . Use these credentials to log in to Office 365 and access your Conestoga email inbox. Be sure to check both your personal and Conestoga email accounts for ongoing communications. Your Conestoga email grants you access to essential information and resources, including personalized orientation details on the orientation site and exclusive job and event postings on the Student Success Portal. Additionally, you can view your personal booklist and course materials via the Conestoga Campus Store where you can sign in with your Conestoga email to request pick-up or free shipping to your home.",https://orientation.conestogac.on.ca/questions/faq,orientation_faq
14. My password and/or user name is not working when I log in to my student account.,"Visit the IT website for information about accessing your account . Or, reach out to IT Services for help: Email: ITSDesk@conestogac.on.ca Phone: 519-748-5220, ext. 3444 Toll-free: 1-866-636-4718",https://orientation.conestogac.on.ca/questions/faq,orientation_faq
15. I am having trouble accessing my timetable.,"To receive your timetable, you must get fully registered . Once these items are complete, please allow 24 hours for your account to be updated in the Student Portal . If you've completed this step and need help accessing your timetable, please email StudentRecords@conestogac.on.ca . If you are a first-term international student and need help accessing your timetable, please email internationaladmissions@conestogac.on.ca .",https://orientation.conestogac.on.ca/questions/faq,orientation_faq
16. How do I access the Wi-Fi while on campus?,Visit IT Services for instructions on connecting to the Wi-Fi .,https://orientation.conestogac.on.ca/questions/faq,orientation_faq
17. How do I get in touch with my program coordinator for questions related to my program?,Please refer to your program's academic handbook for contact information.,https://orientation.conestogac.on.ca/questions/faq,orientation_faq
Who do I contact if I have an emergency or safety concern?,"If you feel unsafe or require immediate attention, contact Safety and Security for support on campus. If you are off campus, contact emergency services by calling 911.",https://www.conestogac.on.ca/student-rights/faq,student_rights_faq
Where do I find information on mental health and wellness supports?,"Conestoga offers counselling , peer support and medical care to assist students with mental health and wellness. For after-hours mental health support, please contact Good2Talk - a free 24-hour service for Ontario post-secondary students. If you are in crisis on campus , contact Safety and Security for support. If you are in crisis off campus , contact emergency services by calling 911.",https://www.conestogac.on.ca/student-rights/faq,student_rights_faq
Where do I find information on sexual and gender-based violence supports?,"If you have experienced or witnessed sexual or gender-based violence and would like to discuss supports available both on and off campus, please contact the Sexual and Gender-Based Violence Coordinator . They can answer questions regarding sexual assault and sexual violence policies and procedures , including your reporting options.",https://www.conestogac.on.ca/student-rights/faq,student_rights_faq
Who can report a student rights and responsibilities violation?,"College students, employees and members of the public may submit reports on behalf of themselves or someone else.",https://www.conestogac.on.ca/student-rights/faq,student_rights_faq
How and when do I report a student rights and responsibilities violation?,"If a concern continues, escalates, or informal resolution is not appropriate, you may decide to make a report to the SRRO. You can make a verbal report by contacting us or use the Report form to report an incident in& writing. We will respond within two business days to arrange a time to discuss the incident and gather more information.",https://www.conestogac.on.ca/student-rights/faq,student_rights_faq
I have been reported for a student rights and responsibilities violation. What happens next?,"If you have received notice from the SRRO or Safety and Security of a report regarding your conduct, it is important to understand how the process works. Refer to the information on formal resolution and the Student Rights and Responsibilities Procedure (pdf). Contact us with any questions.",https://www.conestogac.on.ca/student-rights/faq,student_rights_faq
Who do I contact if I have academic concerns?,"Each program area has a Student Success Advisor (SSA) who is available to help you address academic issues and connect you to services. Sign in to the Student Success Portal to book an appointment . For details on individual services and other important academic contacts, refer to your academic handbook found under the More info tab on your full-time program page.",https://www.conestogac.on.ca/student-rights/faq,student_rights_faq
"How do I dispute a grade, academic decision or academic integrity penalty?",See Academic appeals for information Learn how to avoid and understand future academic warnings and offences through the Academic Integrity website .,https://www.conestogac.on.ca/student-rights/faq,student_rights_faq
How do I challenge a decision or sanction assessed under the Student Rights and Responsibilities policy?,"The challenge process is outlined on page six of the Student Rights and Responsibilities Procedure (pdf) . If you disagree with a decision or sanction assessed under the Student Rights and Responsibilities Policy that does not affect your academic status at the college, email srr@conestogac.on.ca and outline your grounds for appeal. The challenge will be reviewed by the Director of Student Rights and Responsibilities. Appropriate grounds for submitting a challenge are personal bias/unfair treatment or new information/extenuating circumstances. Students must attach all relevant documents to support their request when emailing. If you disagree with a decision or sanction assessed under the Student Rights and Responsibilities Policy that does affect your academic status at the college, submit a formal appeal form as outlined in step four of the Academic Appeal Procedure . For information on how to submit your appeal, please see Academic appeals .",https://www.conestogac.on.ca/student-rights/faq,student_rights_faq
Are my conversations with the SRRO confidential?,"It is important to understand that expectations for confidentiality depend on why you are engaging with our office. Concerns If you reach out to our office with a concern, your conversation with the SRRO is confidential unless we have reason to believe that you are at risk of harming yourself or someone else, or if you disclose that another person is at similar risk. Excluding situations of imminent risk or harm, we will not advance your concerns without your permission. Violations If we reach out to you because your conduct was reported to our office, we may disclose status reports, outcomes, and other relevant information to involved parties such as the violation reporter and any impacted areas of the college.",https://www.conestogac.on.ca/student-rights/faq,student_rights_faq
How does the SRRO protect my privacy and confidentiality?,"All records are filed in a secure electronic database. Managing these records is the responsibility of the SRRO under the direction of the Associate Vice-President, Student Affairs. Access to these records is restricted to appropriate college staff as per the requirements and principles in the Freedom of Information and Protection of Privacy Act (FIPPA). Exceptions are records under statutes that expressly state that they prevail over FIPPA.",https://www.conestogac.on.ca/student-rights/faq,student_rights_faq
Can I report concerns anonymously?,"We accept anonymous reports, but anonymity can limit our ability to review or address your concerns. If you do not want to disclose your identity, we will not be able to report back to you about the status or outcome of your concerns. To submit an anonymous report, you can contact us from an unknown phone number or email address without disclosing your name. We will be launching a new reporting system soon which will accept anonymous report submissions directly into our database. If you would like your concerns or identity to remain anonymous after contacting our office, please let us know to discuss options with you.",https://www.conestogac.on.ca/student-rights/faq,student_rights_faq
Will student rights and responsibilities violations be visible on my permanent academic record?,SRRO decisions and sanctions do not form part of a student's academic record except in cases of long-term suspension or discontinuance from the college.,https://www.conestogac.on.ca/student-rights/faq,student_rights_faq
Experience Profile,"Your experience matters!  From classes to part-time jobs, every activity reveals skills you can use in your career. Use our Experience Profile to uncover strengths and plan your future. Start now and begin shaping the career you want!",https://successportal.conestogac.on.ca/students/docs/detail/317?filename=Experience-Profile.pdf,portal_resource
16 Days of Activism Against Gender-Based Violence,An interactive look at events and actions you can make during the 16 Day campaign.,https://successportal.conestogac.on.ca/students/infoPages/detail/35/16-days-of-activism-against-ge,portal_resource
What does Career Services do?,"Career Services offers help with all things career and employment, from career planning to job search help, resume support, and more. 

	This short video explains a bit more about what Career Services does:",https://successportal.conestogac.on.ca/students/faqs/detail/95/what-does-career-services-do,portal_resource
How do I find a job?,"You can book an appointment with a Career Advisor to get help with your job search, career planning, and developing your resume. 
You can also access resources about job search and more at the Career Services page on the Student Success Portal.",https://successportal.conestogac.on.ca/students/faqs/detail/94/how-do-i-find-job,portal_resource
I want to work while I’m studying at Conestoga – how can I find a job?,"When looking for work, it is important to find something that will allow you to prioritize your studies. Even if you can work full-time hours (35+ hours per week) you should apply to part-time jobs as these types of jobs usually have flexible schedules. Please be mindful of the hours that you work; succeeding in your studies should be your top...",https://successportal.conestogac.on.ca/students/faqs/detail/34/i-want-to-work-while-i-m-study,portal_resource
How can I get help with my resume?,"Current students are encouraged to book an appointment with a Career Advisor for help with their resume. 
Career Services also offers workshops and resume resources. Please visit the Career Services page for more information.",https://successportal.conestogac.on.ca/students/faqs/detail/33/how-can-i-get-help-with-my-res,portal_resource
Accommodated Test Booking Process,How to book an accommodated test - student instructions,https://successportal.conestogac.on.ca/students/docs/detail/316?filename=Accommodated-Test-Booking-Process-Student.pdf,portal_resource
Fraudulent Jobs and Scam Awareness,"When searching for a job, it is important to know the signs of a fraudulent job posting or employment scam. Learn about safe job search practices, how you can protect yourself from employment fraud, and where to go more for information.",https://successportal.conestogac.on.ca/students/docs/detail/38?filename=Fraudulent-Employers-and-Common-Job-Search-Scams.pdf,portal_resource
Accessing Career Services,Learn how to access Career Services and stay connected with us.,https://successportal.conestogac.on.ca/students/docs/detail/315?filename=Accessing-Career-Services-General-Information-Tip-Sheet.pdf,portal_resource
Career Assessments,learn about career assessments and how they can assist you with your career planning.,https://successportal.conestogac.on.ca/students/docs/detail/110?filename=Career-Assessments.pdf,portal_resource
Build a LinkedIn Profile,"How to build a profile on LinkedIn, the world's largest professional networking site.",https://successportal.conestogac.on.ca/students/docs/detail/20?filename=Build-a-LinkedIn-Profile.pdf,portal_resource
In-Person Job fair Success,How to stand out to recruiters at a job or career fair.,https://successportal.conestogac.on.ca/students/docs/detail/35?filename=In-Person-Job-Fair-Success.pdf,portal_resource
Co-Curricular Record,"The Co-Curricular Record (CCR) is an official document, complementary to an academic transcript, which recognizes and records your learning through approved co-curricular experiences at Conestoga College.",https://successportal.conestogac.on.ca/students/infoPages/detail/16/co-curricular-record,portal_resource
Student Mental Health Policy,Student Mental Health Policy,https://successportal.conestogac.on.ca/students/infoPages/detail/54/student-mental-health-policy,portal_resource
Get Involved Guide,Get Involved Guide Editions,https://successportal.conestogac.on.ca/students/infoPages/detail/56/get-involved-guide,portal_resource
"Creative Industries Resume, Chronological Style",A strong resume is key to landing interviews. This chronological style resume for a student or new grad seeking employment in the creative industries is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/309?filename=Graphic-Design-Resume.pdf,portal_resource
Breathing Space Guidelines,Here are some things to keep in mind while using the Breathing Space,https://successportal.conestogac.on.ca/students/docs/detail/314?filename=Breathing-Space-Disclaimer_DIGITAL.pdf,portal_resource
Managing Your Time,"Learn how to prioritize, approach procrastination, and plan your time.",https://successportal.conestogac.on.ca/students/infoPages/detail/29/managing-your-time,portal_resource
Fall 2025 Planner,Stay organized this semester!,https://successportal.conestogac.on.ca/students/docs/detail/313?filename=2025-Fall_Planner_DIGITAL_V1.pdf,portal_resource
SSA Drop-In,Drop-in options,https://successportal.conestogac.on.ca/students/infoPages/detail/49/ssa-drop-in,portal_resource
Grad Launch Resource Guide,"Congratulations, soon-to-be graduate! As you prepare for life after graduation, this guide is designed to help you wrap up your time as a student and make the most of the resources available to you as a new graduate.",https://successportal.conestogac.on.ca/students/docs/detail/297?filename=SE-_-Alumni-Digital-Resource-Guide.pdf,portal_resource
First Days in Canada,Identify what you should do the first days in Canada,https://successportal.conestogac.on.ca/students/docs/detail/312?filename=First-Days-in-Canada_Aug-2025.pdf,portal_resource
Arrival Checklist,Checklist of things to do before coming to Canada,https://successportal.conestogac.on.ca/students/docs/detail/311?filename=Arrival-Checklist.pdf,portal_resource
"Missed Appointment, Late Arrival, and Cancellation Guidelines","Guidelines around missed appointment, late arrivals and cancellations",https://successportal.conestogac.on.ca/students/infoPages/detail/55/missed-appointment-late-arriva,portal_resource
Student Success Colouring Book,Colouring book,https://successportal.conestogac.on.ca/students/docs/detail/310?filename=Student-Success-Colouring-Book_DIGITAL.pdf,portal_resource
Student Success Services,Overview of all Student Success Services,https://successportal.conestogac.on.ca/students/infoPages/detail/34/student-success-services,portal_resource
Discontinuance and Reapplying,definition of discontinuance and reapplying,https://successportal.conestogac.on.ca/students/infoPages/detail/53/discontinuance-and-reapplying,portal_resource
Who is the Placement Officer/Contact for my program?,Alphabetical list of programs with assigned Placement Officer,https://successportal.conestogac.on.ca/students/infoPages/detail/24/who-is-placement-officer-conta,portal_resource
"Health & Life Sciences Resume, Chronological Style, Sample #1",A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment in the health and life sciences sector is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/308?filename=PSW-Resume.pdf,portal_resource
WIL Nurse Support Program Contacts,WIL Nurse Support Program Contacts,https://successportal.conestogac.on.ca/students/infoPages/detail/27/wil-nurse-support-program-cont,portal_resource
Part-Time Job Resume Sample,"A sample resume appropriate for a student seeking part-time employment.  For more resume examples, visit our ‘Resume Samples’ topic area.",https://successportal.conestogac.on.ca/students/docs/detail/67?filename=Part-Time-Resume-Sample-Aug23.pdf,portal_resource
Chronological Resume Sample,"A sample resume using the chronological resume format.  For more resume examples, visit our ‘Resume Samples’ topic area.",https://successportal.conestogac.on.ca/students/docs/detail/70?filename=Chronological-Sample-Resume-July23-%281%29.pdf,portal_resource
How to create a resume on VMock (overview),Learn how to use templates found on VMock to create a resume.,https://successportal.conestogac.on.ca/students/videos/detail/35/how-to-create-resume-on-vmock-,portal_resource
Post-Graduate Chronological Sample Resume,"Sample of a chronological resume for an individual who completed a post-graduate certificate at Conestoga.  For more resume examples, visit our ‘Resume Samples’ topic area.",https://successportal.conestogac.on.ca/students/docs/detail/154?filename=Post-Grad-Chronological-Sample-Resume-July23.pdf,portal_resource
Understanding Transferrable Skills,Understand more about how non-industry specific transferrable skills that are learned and developed in one situation can then be used and applied in another situation.,https://successportal.conestogac.on.ca/students/docs/detail/88?filename=Understanding-Transferrable-Skills-Tip-Sheet.pdf,portal_resource
Writing Accomplishments Statements,Tips for how to write accomplishment statements to include on your resume.,https://successportal.conestogac.on.ca/students/docs/detail/15?filename=Accomplishment-Statements.pdf,portal_resource
Computer Science and I/T Competency Style (functional) Resume Sample,"A sample resume for those seeking employment in the computer science or IT sector using a competency based (functional) format.  For more resume examples, visit our ‘Resume Samples’ topic area.",https://successportal.conestogac.on.ca/students/docs/detail/69?filename=IT-Competency-Resume-July23.pdf,portal_resource
Action Verbs to Use in a Resume,The best resumes include lots of action verbs to describe your skills and work experience. This resource will help you identify action verbs to use in your resume.,https://successportal.conestogac.on.ca/students/docs/detail/6?filename=Action-Verbs.pdf,portal_resource
How to log in to VMock resume and interview practice tool,Learn how to log into VMock - a resume and interview practice tool for full-time students.,https://successportal.conestogac.on.ca/students/videos/detail/33/how-to-log-in-to-vmock-resume-,portal_resource
How to Upload a Resume to VMock (overview),Step by step instructions for how to upload your resume to VMock.,https://successportal.conestogac.on.ca/students/videos/detail/34/how-to-upload-resume-to-vmock-,portal_resource
Creating a new resume using VMock (detailed instructions),This video provides detailed instructions on how to make a new resume using VMock.,https://successportal.conestogac.on.ca/students/videos/detail/36/creating-new-resume-using-vmoc,portal_resource
Resume Profile vs. Objective Statements,This resource explains how to develop a profile statement for your resume.,https://successportal.conestogac.on.ca/students/docs/detail/9?filename=Resume-Profile-Statements-and-Objectives.pdf,portal_resource
Highlights of Qualifications,This resources provides examples of qualifications to include in a resume.,https://successportal.conestogac.on.ca/students/docs/detail/8?filename=Highlights-of-Qualifications.pdf,portal_resource
Transferrable Skills Checklist,Transferrable Skills Checklist,https://successportal.conestogac.on.ca/students/docs/detail/89?filename=Transferrable-Skills-Checklist.pdf,portal_resource
Understanding the Job Posting,How to carefully review a job posting to assess the responsibilities and qualifications associated with the position to assess your fit and customize your application.,https://successportal.conestogac.on.ca/students/docs/detail/43?filename=Understanding-the-Job-Posting.pdf,portal_resource
Understanding Applicant Tracking Systems,Applicant Tracking Systems (ATS) are software programs used by employers that scan and store resumes and cover letters. This resource will help you understand how to format your resume so that it will work well with these systems.,https://successportal.conestogac.on.ca/students/docs/detail/16?filename=Understanding-Applicant-Tracking-Systems.pdf,portal_resource
Resume Checklist,Guide for reviewing your resume.,https://successportal.conestogac.on.ca/students/docs/detail/11?filename=Resume-Checklist.pdf,portal_resource
References,Tips for developing references to support your job search.,https://successportal.conestogac.on.ca/students/docs/detail/19?filename=Professional-References.pdf,portal_resource
Portfolio Development,"A professional portfolio can be a powerful job search, networking and interview tool. This resources explores the different types of portfolios and the benefits of using a portfolio to support job search.",https://successportal.conestogac.on.ca/students/docs/detail/77?filename=Portfolio.pdf,portal_resource
Functional Resume Worksheet,A tool to help you develop your resume using a functional format.,https://successportal.conestogac.on.ca/students/docs/detail/13?filename=Functional-Resume-Worksheet.pdf,portal_resource
Creating a CV - Curriculum Vitae,A guide for developing a Curriculum Vitae.,https://successportal.conestogac.on.ca/students/docs/detail/14?filename=Curriculum-Vitae.pdf,portal_resource
Components of a Resume,"It is important to determine which style of resume will best highlight your skills, qualifications and experience to the employer. This resource will help you understand the components of a resume and which style of resume is right for you.",https://successportal.conestogac.on.ca/students/docs/detail/5?filename=Components-of-a-Resume.pdf,portal_resource
Chronological Resume Worksheet,A tool to help you develop your resume using a chronological format.,https://successportal.conestogac.on.ca/students/docs/detail/12?filename=Chronological-Resume-Worksheet.pdf,portal_resource
"Engineering & Technology Resume, Chronological Style",A strong resume is key to landing interviews. This chronological style resume for a student or new grad seeking employment in engineering or technology is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/305?filename=Chronological-Sample-Resume.pdf,portal_resource
"Computer Science & I/T Resume, Competency-Based (Functional) Style",A strong resume is key to landing interviews. This competency-based (functional) resume for a student or new grad seeking roles in computer science or I/T is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/307?filename=IT-Competency-Resume.pdf,portal_resource
"Community Services Resume, Chronological Style",A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment within community services is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/304?filename=ECE-Resume-Sample.pdf,portal_resource
"Health & Life Sciences Resume, Chronological Style, Sample #2",A strong resume is key to landing interviews.  This chronological style resume for a student or new graduate seeking employment in the health and life sciences field is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/303?filename=Nursing-Resume.pdf,portal_resource
"Business Resume, Skills Based (Functional) Style",A strong resume is key to landing interviews. This skills-based (functional) resume for a student or new grad seeking employment in the business sector is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/302?filename=Office-Admin-Functional-Resume.pdf,portal_resource
"Business Resume, Chronological Style",A strong resume is key to landing interviews.  This chronological style resume for a student or new graduate seeking employment in the field of business is an example of how to present skills and experience with confidence and clarity.,https://successportal.conestogac.on.ca/students/docs/detail/301?filename=Post-Grad-Chronological.pdf,portal_resource
